Town,Beach_Name,SamplePoint,Latitude,Longitude
Harpswell,Stovers Point Preserve,HARP-1,43.7580986,-70.001297
Harpswell,Mitchell Field Beach,HARP-2,43.7775002,-70.0180969
Harpswell,Mackerel Cove,HARP-3,43.7310982,-69.9974976
Freeport,Winslow Park,WP-1,43.80114026,-70.11679922
South Portland,Willard Beach,WIL-01,43.643295,-70.227086
South Portland,Willard Beach,WIL-02,43.6423988,-70.2266006
South Portland,Willard Beach,WIL-03,43.641709,-70.225926
Cumberland,Broad Cove Reserve,BC-1,43.7645988,-70.1924973
Portland,East End Beach,EEB-01,43.6691017,-70.240799
